lemma,genus,pl_form,pl_class,split,m95_rhyme
lemma,n,lemmata,other,train,
-ant,m,-anten,en,train,
-ant,n,-ante,e,train,
-anz,f,-anzen,en,train,
-chen,n,-chen,zero,val,
-enz,f,-enzen,en,test,
-er,m,-er,zero,train,
-ette,f,-etten,n,train,
-heit,f,-heiten,en,train,
-ier,m,-iere,e,train,
-in,f,-innen,nen,train,
-ismus,m,-ismen,other,train,
-keit,f,-keiten,en,val,
-le,n,-le,zero,train,
-lein,n,-lein,zero,test,
-ling,m,-linge,e,train,
-loge,m,-logen,n,train,
-logie,f,-logien,n,train,
-manie,f,-manien,n,train,
-meter,m,-meter,zero,train,
-philie,f,-philien,n,val,
-phobie,f,-phobien,n,train,
-sal,,-sale,e,train,al
-schaft,f,-schaften,en,test,
-schrecke,f,-schrecken,n,train,
-skopie,f,-skopien,n,train,
-tum,,-tümer,umlaut_er,train,
-ung,f,-ungen,en,train,
-urie,f,-urien,n,val,
"0,2-liter-flasche",f,"0,2-liter-flaschen",n,train,
"0,33-liter-flasche",f,"0,33-liter-flaschen",n,train,
"0,5-liter-flasche",f,"0,5-liter-flaschen",n,train,
"0,7-liter-flasche",f,"0,7-liter-flaschen",n,test,
"0,75-liter-flasche",f,"0,75-liter-flaschen",n,train,
"1,6-liter-benziner",m,"1,6-liter-benziner",zero,train,
1-cent-münze,f,1-cent-münzen,n,train,
1-cent-stück,n,1-cent-stücke,e,val,
1-euro-job,m,1-euro-jobs,s,train,
1-euro-jobber,m,1-euro-jobber,zero,train,
1-euro-münze,f,1-euro-münzen,n,train,
1-euro-stück,n,1-euro-stücke,e,train,
1-raum-wohnung,f,1-raum-wohnungen,en,test,
1-zimmer-wohnung,f,1-zimmer-wohnungen,en,train,
10-cent-münze,f,10-cent-münzen,n,train,
10-cent-stück,n,10-cent-stücke,e,val,
10-euro-schein,m,10-euro-scheine,e,train,
10-franken-note,f,10-franken-noten,n,train,
10-franken-schein,m,10-franken-scheine,e,train,
10-mark-schein,m,10-mark-scheine,e,train,
10-pfennig-stück,n,10-pfennig-stücke,e,train,
10-uhr-vorstellung,f,10-uhr-vorstellungen,en,test,
